date,objet,,intervenant,
06-11-25,intervention cave tuyau eaux usées,,Malatier,
11-11-25,interruption chauffage / RDC,,,
13-11-25,Pose des compteurs Anasthase et Combaz,,ISTA,
17-11-25,interruption chauffage  / RDC,,,
17-11-25,problème purge 2ième ballon,,SLET,
17-11-25,inspection tuyaux evacuation Mme Rousset,,HERA,
18-11-25,interruption chauffage/ RDC,,,
,appartement 3 2ième disjoncteur / Solange,,M Anasthase,
19-11-25,diagnostic  de panne RDC,Mme  Cressant,EGELEC,
03-12-25,Nettoyage vide ordure,,Maillet,
03-12-25,Espaces Vers feuilles ,,Mr Marchand,
04-12-25,Fuite eau appartement Combaz,Mr et Mme Combaz,Plombier,
07-12-26,Intervention Plombier Appt Combaz,Mr et Mme Combaz,,
12-12-25,Vanne d'arrivée eau de la ville fuite,,EGL,
14-01-26,devis pose de mirroir  sortie parking,,AG Maçonnerie,
15-01-26,sport d'éclairage arrière cour,,ICSEL,
21-01-26,ascenceur sirène défaillante,,ASTEC,
26-01-26,devis pose de mirroir  sortie parking,,Numéro Bis,
03-02-26,fuite d'eau local poubelles,,SABECO,
03-02-26,intervention fibre,Mr Maillet,ORANGE,
03-02-26,Isolation Plafond des caves Visite de Mr  Geoffray,,AGI,
16-02-26,Entretien de l'ascenceur,,ASTEC,
17-02-26,vérification VMC changement de courroie,,Maillet,pose de trappes nécessaire pour ramonnage
19-02-26,isolation électricité visite pour devis,,EGELEC,
24-02-26,visite Lamy Mme Berchoux,,Lamy,
27-02-26,visite remplacement bouton ascenceur sous sol,,ASTEC,
30-03-26,passage visite des caves,,EGELEC,
31-03-26,travaux électricité soou sol / isolation plafond,,EGELEC,
13-04-26,travaux électricité soou sol / isolation plafond + caves,,EGELEC,
20-04-25,refection du plafond de l'entrée de l'immeuble,,Déco Lyonnaise,
20-04-25,isolation du plafond du sous-sol par flocage,,AGI,
04-05-26,fuite d'eau canalisation eau chaude local chaufferie,,SLET,
05-05-26,Tonte pelouse / coupe de la haie ,,Mr Marchand,
02-07-26,Interphone défectueux suit à une coupure de courant,,CSA,
02-07-26,changement du purgeur chauffe-eau 1,,SLET,
09-07-26,Tonte pelouse 2,,Mr Marchand,
20-07-26,Changement écran de l'interphone,,CSA,
25-08-26,changement de la carte electronique de l'interphone,,CSA,
25-08-26,fuite d'eau canalisation,Mr Mme Valentini,Hera,
08-09-26,Tonte pelouse / coupe de la haie / coupe deux prunus,,Mr Marchand,
10-09-26,visite devis remplacement des coffrets électriques,,EGELEC,
10-09-26,visite devis remplacement des coffrets électriques,,PETRE,
10-09-26,visite devis réparation des balcons,plusieurs appartements,SOMAI,
18-09-26,visite de Mme Vibert,,LAMY,
